Big_Category,Sub_categories,Sentences
invoice,format,Can you please create ability to add a Units column to invoices?  I have wanted this ability ever since I started using QB Online over 4 years ago.  Please.
invoice,format,"Completely agree with other userss comments. Delayed charges should automatically appear on invoices (or make this a preference we can enable).
In addition, delayed charges should also be included in the unbilled activity total  list. This was "
invoice,format,Customer should be able to see invoice detail on statement and make an online payment of balance tota
invoice,format,doesnt seem too much to ask to just add custom columns to invoices. im simply trying to add an MSRP column to invoices. FAIL. 
invoice,format,"I agree with many of the comments below.  To begin with the online version of quickbooks has always had weak invoicing compared to the desktop version.  I realize you are working on this.  But how long does it take?  In addition, you have taken away some "
invoice,format,I am going to lose clients if I cannot Subtotal services and expenses on my invoices!! They are simply not paying if not subtotaled
invoice,format,I am going to lose clients if I cannot Subtotal services and expenses separately on my invoices!! Clients are simply not paying if not subtotaled the invoice is being returned!!
invoice,format,I am very disappointed that the subtotal invoice feature has been removed for those that do no charge sales tax. 
invoice,format,I have multiple client bases. I need to use a different my email for each... and would actually rather NOT show my email on an invoice. Please let me REMOVE  my email from the invoice.
invoice,format,I have two companies in QB.  One was converted to online over a year ago (roughly March 2013).  My second company converted on June 1st 2014.  When my first company converted I noticed that invoice customization such as line breaks and subtotaling of serv
invoice,format,I just want to simply add a blank line to separate my invoice items.  The answer provided does not address this simple request.  I was able to do this in the old online version.
invoice,format,I need the same ting to Format Invoice
invoice,format,"I totally agree with this request. I think it is a HUGE omission from QBO. What is needed is a key-word(s) and the ability to add/subtract as well.
e.g. in an invoice description field:   Monthly charges for ::month-1::, ::year::  should outp"
invoice,format,"I work in Hawaii where General Excise Tax IS NOT SALES TAX, it is income.  State law allows a business to uplift an invoice to to recover the impact of the tax.  In QB I could use a sub-total item to sum goods and services, then apply the excise tax uplif"
invoice,format,"Ian - Stop complaining!  Are you kidding me?  The new QBO has some serious issues that has cost me thousands.  Emailed invoices only show current amount due, not previous amounts due.  Sure, you can click view invoice and QB will allow you to see the corr"
invoice,format,Im in desperate need of sub totals in Quickbooks Online Plus!
invoice,format,"In addition to subtotaling expenses versus time, the new version is no longer printing the retainer fee we have already received in the Balance Forward section and sometime is not showing payments received.  Our customers are very confused by "
invoice,format,"In addition, all historic invoices prior to this update, would require to be recreated since this grouping is not allow."
invoice,format,"Just moved across to quickbooks online and incredibly disappointed in how unprofessional our invoices now look, VAT registration number across two rows (etc).  Incredibly limited functionality for improving the look and detail and from reading the comment"
invoice,format,My clients are refusing to pay for services because I cannot Subtotal services and expenses on my invoices!!
invoice,format,"Not only to have a sales rep section for their name but an email as well. Estimates and Sales orders tend to go to the sales person while invoices go to someone different in Accounting. PLEASE, this would help out so much."
